Site ID,Business Type,Notes,LicenseeName,DBA,Address,Address_2,City,State,Zip Code
21945,Distiller,Class B,Boone County Distilling Company LLC,Boone County Distilling Company,10601 Toebben Dr,,Independence,KY,41051-0000
23860,Distiller - NQ3 by the drink,Class B,Buchanan Griggs Inc,Hartfield & Co Distillery,108 E 4th St,,Paris,KY,40361-1938
26075,Distiller,Class B,Ambrabev LLC,The Still,522 Techwood Dr,,Danville,KY,40422-0000
11693,Small Farm Winery,Class B,River Horse Inc,Baker-Bird Winery,4465 Augusta Chatam Road,,Augusta,KY,41002-0000
22970,Distiller,Class B,Crooked Tail Distilling Co LLC,Crooked Tail Distilling Co LLC,106 E Washington St,,Princeton,KY,42445-2250
21209,Distiller,Class B,Stillworks LLC,Casey Jones Distillery,2813 Witty Ln,,Hopkinsville,KY,42240-0000
14406,Distiller,Class B,MB Roland Distillery Inc,MB Roland Distillery,137 Barkers Mill Rd,,Pembroke,KY,42266-9437
20498,Distiller,Class B,Route 52 Moonshine LLC,"Route 52 Moonshine, LLC",465 Beattyville Rd,,Irvine,KY,40336-0000
13575,Distiller,Class B,Woodshed Beverage LLC,Barrel House Distilling Company,1200 Manchester St,Bldg 9,Lexington,KY,40508-0000
25456,Distiller,Class B,James Pepper Distilling Co LLC,James Pepper Distilling Co,1228 Manchester St,,Lexington,KY,40508-0000
19200,Distiller,Class B,Bluegrass Distillers LLC,Bluegrass Distillers,501 W Sixth St Ste 165,,Lexington,KY,40508-0000-0000
25821,Distiller,Class B,Kentucky Mist Distillery Lexington LLC,Kentucky Mist Distillery,105 Summit At Fritz Farm Ste 110,,Lexington,KY,40517-0000
19189,Distiller,Class B,Whiskey Thief Distilling Company Inc,Whiskey Thief Distilling Company,283 Crab Orchard Rd,,Frankfort,KY,40601-9185
21537,Distiller,Class B,Glenns Creek Distilling LLC,Glenns Creek Distilling LLC,3501 Mccracken Pike,,Frankfort,KY,40601-9231
11915,Distiller,Class B,Jamieson's Distillery Inc,Fulton County Distillery,3855 Kentucky Hwy 125,,Hickman,KY,42050-0000
